time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,effort1,effort2,effort3,effort4,effort5
0.4,0.000280018038341216,-7.799575056904957e-05,0.9168697911117627,0.000898964132466906,-0.0008990807038923788,0.7068058970062532,0.7074063948499207,-0.0007721887103073755,0.9332454875039531,0.002277509017822865,-0.4726311713625364,-0.027746526833904994
0.451,0.0002800230905110998,-6.951708047223802e-05,0.9168698167627616,0.0012062070030616637,-0.0012068123570933601,0.7066751932045615,0.7075360485359713,-0.0007632994742934329,0.9074604420291621,0.002259856735520316,-0.48237661423478073,-0.045933197946101956
0.5,0.0002800305364736383,-7.803084115687179e-05,0.9168698288232681,0.0016593003228431076,-0.001660685156453514,0.7065953973170772,0.7076139013173577,-0.0008563991125143389,0.9279989053752047,0.0020365352888518373,-0.47786635249469356,-0.027574106986438807
0.55,0.00028003762560089825,-8.457327864169966e-05,0.916869837472693,0.0018077582083187468,-0.001809589723193892,0.7065248360016652,0.7076836252931916,-0.00022498229768075362,0.9110938612204578,0.0023179931227801376,-0.47552799347183594,-0.04055083814771265
0.601,0.00028004439075786174,-8.671541648116794e-05,0.9168698511736487,0.00204747501057654,-0.0020500795951360158,0.7064364815524933,0.7077705154578484,0.000978501264015108,0.9267530150847136,-0.0009777432277147113,-0.48655152752630215,0.02587924252521745
0.65,0.000280049774316706,-9.1024829919136e-05,0.9168698570612059,0.001951476350971519,-0.0019540780088048416,0.7063911038086124,0.7078163474936403,0.0011000724997600742,0.914829403477313,0.00018428793602254245,-0.4797184718885461,0.0008384705119546254
0.7,0.00028005445289558726,-9.341391672059219e-05,0.9168698635039714,0.0020953385104726637,-0.0020984440221752526,0.7063433181823021,0.7078632092067139,-0.0004210637358781355,0.9430076714487257,-0.0003655760663079377,-0.48922610704948966,0.022058127241564307
0.751,0.0002800566743376875,-9.462432918963425e-05,0.9168698662730619,0.002176188368966355,-0.0021795680284406047,0.7063219976891989,0.7078839942163773,-0.0007199322729078972,0.9355478468275891,0.0008509756517227629,-0.48440283013384544,-0.0027814307542506356
0.801,0.0002800564492624003,-9.41102258078959e-05,0.9168698673886615,0.0021809571495614035,-0.0021843583003044024,0.7063209058058525,0.707885054247035,-0.0006237462955027695,0.9229386777196424,0.0013110369350144424,-0.48038354068768996,-0.02274184441972693
0.854,0.00028005621040661026,-9.36966553533278e-05,0.9168698671630375,0.00214636411370062,-0.0021496882822524847,0.7063210922890584,0.707885080044051,0.000727416556323135,0.9186767825335451,-0.0002687146256619144,-0.4824132291840755,0.004248374112769682
0.9,0.00028005647818160617,-9.414756032148244e-05,0.9168698669304322,0.0021520163505229757,-0.002155350840195623,0.7063210786249446,0.7078850592988088,0.0004912677864510329,0.9136789275103752,0.0006038701352295561,-0.4790266281728961,-0.013465781182819825
0.95,0.00028005607336626764,-9.349949670370839e-05,0.9168698676227993,0.00226468678486892,-0.0022682759153278176,0.706320662712396,0.7078847699616512,2.484362759958003e-05,0.9150433231503996,0.0011255962606426806,-0.4786202481099622,-0.02251113723392706
1.0,0.0002800561151186893,-9.356416203874995e-05,0.9168698675680649,0.0022427356768695127,-0.002246275757242646,0.7063207355780228,0.7078848372965956,0.00046155326227648175,0.9155146090158439,0.0004486755340593618,-0.4799914456654619,-0.009983875682184618
1.051,0.0002800561504123424,-9.363249751208401e-05,0.9168698671236136,0.0023070430233116386,-0.0023107229519964733,0.7063206115340728,0.7078845469665669,-6.26353235944066e-05,0.9357096689877054,-0.0006998565362792419,-0.4877126880895588,0.019105406963682015
1.101,0.00028005610611069043,-9.355892073297417e-05,0.9168698672341391,0.0023060598186997352,-0.002309738326787775,0.7063206004194942,0.7078845644736287,-0.0004223056819796511,0.9347709215798972,-8.164963993806396e-05,-0.4862597905725963,0.007490002490584402
1.15,0.0002800563601701872,-9.39599320741413e-05,0.9168698667933527,0.002211476396554007,-0.002214942213002791,0.7063209426919461,0.7078848277212205,-0.00047796505864283745,0.9286360336178134,0.000588187750949487,-0.4832597308306319,-0.00716137504985781
1.2,0.00028005632774601413,-9.390947348241522e-05,0.9168698668224158,0.002228247069276105,-0.002231750286816416,0.7063208903621764,0.7078847745527788,-0.00023791343561896383,0.9216712353916634,0.0008949485934550694,-0.48078445634036626,-0.01557770197120334
1.25,0.0002800562792615444,-9.382491116681492e-05,0.9168698672158639,0.002192939941632523,-0.00219636727957223,0.7063209312468518,0.7078849546838565,-0.0004085339178061531,0.9275657374256951,0.0005861708975984925,-0.4829832973873849,-0.0075660244283071165
1.3,0.00028005630356483477,-9.386442938980955e-05,0.9168698671341539,0.0021912897164559093,-0.002194712874380184,0.7063209481443736,0.7078849480651578,-0.0001748005038493261,0.9216228006092564,0.000806696292876552,-0.4809424389220496,-0.013993924518107548
1.35,0.00028005612269424115,-9.358060503067772e-05,0.9168698674100294,0.0022679992660892922,-0.0022715944019139674,0.7063206853669799,0.7078847261107716,0.00013450634295253394,0.9190837447237143,0.0005906546167722126,-0.48068637857312524,-0.01111027953060173
1.401,0.00028005614348735925,-9.361269298817215e-05,0.916869867399786,0.002255520932360639,-0.0022590883100334987,0.7063207233906451,0.7078847680620388,0.00013014216815321333,0.9300934177662867,-0.0004514937579358502,-0.48571594523494355,0.0122999063248308
1.451,0.00028005620504517565,-9.371562462390507e-05,0.916869867063014,0.002271397459250157,-0.0022749979459936545,0.7063207282693555,0.7078846614774016,-0.00013681948818344836,0.9319809987253791,-0.00023634632917435283,-0.485800018251048,0.009165478785178038
