time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,effort1,effort2,effort3,effort4,effort5
0.45,0.00029216247915102506,0.01849131215852411,0.9165886037612221,-0.0089465162606374,0.008936611588418247,0.7064269243890414,0.7076730158189979,-0.31084162939354343,-1.5043868246005232,-0.2657872320934729,-5.878835163870555,0.005347806058875193
0.5,0.0003029736771265162,0.017801391190727198,0.9166101130251544,-0.007930472861418472,0.007913895438257554,0.7059335219262256,0.7081894806335528,0.3017869202395218,3.01740197906053,0.23868332376064672,4.117336208053324,0.03152478299126571
0.55,0.0003070738508331299,0.02313361387886615,0.9164294908307686,-0.010894901322929678,0.010875895243793579,0.7059915135431133,0.708052963296471,-0.28420509831939,-1.3398892827272135,-0.2502888033673045,-5.550978233718418,0.015468140511032402
0.6,0.0003170049310147683,0.022085202572481068,0.9164695976191793,-0.009874327348097943,0.00984803719999775,0.7055832188470583,0.7084898270999763,0.28216957338855764,2.90045488908941,0.227690183651319,3.8460809438269905,0.011130702599082554
0.65,0.00031907238026369824,0.026281266069688673,0.9163013230626116,-0.012352368949508074,0.012326276655456507,0.7057139164084666,0.7082819707380478,-0.2765087908631614,-1.3415920782859914,-0.24631996391200062,-5.52672413191857,-0.018219871136526677
0.701,0.0003261502767241053,0.024392587430133086,0.9163813692087164,-0.010776689375160714,0.010743476334784762,0.7053876396870038,0.7086583933455897,0.27882202590845395,2.8698631687431586,0.22685799735722156,3.8209409583593867,-0.01409741781053242
0.75,0.00032378537656130595,0.027410269924987442,0.9162513537117523,-0.01279626361211251,0.01276709498753834,0.7056173566476933,0.7083624798933598,-0.274991714836581,-1.3655384228457024,-0.24710010251016712,-5.555577694783764,-0.02075465812456656
0.801,0.00032775213157346155,0.024707772850200375,0.9163686570505687,-0.010817503579641728,0.010782743823907271,0.7053530689169634,0.7086915846977112,0.28617934229746567,2.9467517892145523,0.23169473522521855,3.9959880728668296,0.004907619813288022
0.851,0.00032373145926708704,0.027320440691352775,0.9162554331433679,-0.012656530305316677,0.012627061506781423,0.7056175437124317,0.7083673140141129,-0.27247524357054687,-1.311974288476847,-0.24553717616715431,-5.4594870273314555,0.005313939566953252
0.9,0.0003277587901993932,0.0247248918916618,0.9163679586032539,-0.010894749745596292,0.010860298981535062,0.7053525640028573,0.7086897196859904,0.28255885904027167,2.932394695048579,0.22862105117571474,3.930028977588762,0.02127928708226534
0.95,0.00032373104428110543,0.027317995332056855,0.9162555466793217,-0.012699470741109364,0.01267017858281846,0.705616708210024,0.7083666078468309,-0.27222121617498374,-1.2973029343443798,-0.24461793937646803,-5.443118869014718,0.0035299806093291863
1.0,0.00032775560549410364,0.024710719171569022,0.9163685371596443,-0.010929570674155389,0.010895328696849343,0.7053513519655317,0.7086898521764389,0.28228863318258135,2.9318749407334366,0.22961116867659115,3.935940676811356,0.004673162888302329
1.05,0.000323728527267441,0.027325157611011286,0.9162552208736883,-0.012758333336146937,0.012729246203269652,0.7056159024360384,0.7083652937933609,-0.27264041680918893,-1.3094378085414249,-0.2440588163068469,-5.446905364666854,-0.015919432169475556
1.101,0.00032775757404718953,0.024708636188725003,0.9163686210776366,-0.01087220143111255,0.010837695062775873,0.7053521126351533,0.7086908612384485,0.282915208237533,2.9250262611544287,0.2301805085327402,3.944362083343478,-0.005450103655846306
1.15,0.00032373060892547514,0.027326010779592187,0.9162551803387045,-0.012717455347932892,0.012688205735021604,0.7056166310819004,0.7083660393506508,-0.2722557354379873,-1.314294078836653,-0.24442678650782312,-5.448404630218562,-0.011815168256745778
1.2,0.0003277581756537396,0.024709615482375002,0.9163685822590929,-0.010847162255347782,0.010812537871638416,0.7053525833036405,0.7086911607482218,0.28322017278092915,2.927932951174661,0.22949324628562806,3.9422118727463484,0.008563245138581976
1.251,0.0003237317357104501,0.027325477522193452,0.9162552056012513,-0.01268196548089546,0.012652582744705602,0.7056172778391312,0.7083666685526112,-0.2722663916125967,-1.3069137897447902,-0.2450191998271123,-5.4510425614342495,0.002337407367214439
1.3,0.0003277561382651363,0.02470969236112535,0.9163685799124496,-0.010893237677509481,0.010858830552645485,0.7053519011447079,0.7086904251670658,0.2828885572432327,2.934269727703054,0.22929962526685443,3.9396919913921025,0.01426628435812205
