time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.701,0.00029941237037460044,-0.01233875668507856,0.9167435768146299,0.01182307754502888,-0.011812304654932188,0.7082287228174361,0.7057852084540215
0.751,0.0003074928416031731,-0.010279926457323016,0.9167830488562833,0.010558344261925517,-0.0105368866565625,0.7089841552566571,0.7050666372627756
0.8,0.00031565515068209394,-0.014427995023476532,0.9166981556149918,0.014140466916640707,-0.014117513264007018,0.7088430345820853,0.7050831832763284
0.851,0.0003228660537173252,-0.012419592297050886,0.9167434663847591,0.013238420791986947,-0.013200771106735312,0.7095029134552278,0.7044544695405554
0.9,0.0003285865037975917,-0.01596712775231855,0.9166600508140759,0.016076927113689504,-0.016042073410876143,0.7092212782393542,0.704620013048024
0.95,0.00033286173750459136,-0.013554532633226148,0.9167194625827622,0.01478556423038245,-0.014736008730343222,0.7097971544977055,0.7040967523032963
1.001,0.0003340504240307773,-0.016584373648378673,0.9166436670418813,0.017000809972873676,-0.01695968273109954,0.7093589153985915,0.7044382661145404
1.051,0.00033489369091849045,-0.013756669801800002,0.9167149737076602,0.014872608014623293,-0.01482216142168781,0.70986116245921,0.7040285783217124
1.1,0.00033393735552640717,-0.01654118872365466,0.9166448501348987,0.016857641802597245,-0.016817282987909337,0.7093639365717471,0.704440064446362
1.151,0.0003349055858370444,-0.013759212255918557,0.9167149176273566,0.014759045097540299,-0.014709538703534489,0.7098633831910287,0.7040310911199343
1.201,0.00033394429545043525,-0.01654340527287643,0.916644790976996,0.01671845815025304,-0.016679072175021636,0.7093670329994248,0.704443549336674
1.251,0.00033487590482274954,-0.013750960940398368,0.9167151065148171,0.014899488405441443,-0.014848775065830083,0.7098606811261985,0.7040279344708916
1.301,0.0003339470678398909,-0.016546510436113427,0.9166447086417638,0.016828668820319418,-0.01678853561804753,0.7093641727823722,0.7044412050344006
1.35,0.00033487347871602674,-0.013750348762589185,0.9167151189131869,0.014965754232599614,-0.014914497479317503,0.709859428521232,0.7040264027042585
1.4,0.0003339455416192529,-0.016546535237684557,0.9166447063099699,0.016919903553619133,-0.016879142467168932,0.7093620845525138,0.7044389571940367
1.451,0.00033487963694684667,-0.013751386470387674,0.9167150943918045,0.014846333728986376,-0.014796064184283633,0.7098619530819296,0.7040288846533004
1.5,0.0003339489091232635,-0.016546679170497205,0.9166447004430991,0.016825069310606535,-0.016784966893611412,0.7093644121349342,0.7044411350322557
1.55,0.00033487956154227395,-0.013751345843451085,0.9167150965868985,0.014812844687517871,-0.014762846239040055,0.7098625601450202,0.7040296753032104
1.6,0.000333949594900507,-0.016546628176719504,0.9166447033679138,0.01676939665224202,-0.01672967642171669,0.7093656593870624,0.7044425218178576
1.65,0.0003348761976305364,-0.01375097435900507,0.9167151055719333,0.014908396528655518,-0.014857611666407351,0.7098605439152047,0.7040276978080654
1.7,0.0003339465171439563,-0.016546321557713045,0.9166447130160782,0.016849057290957762,-0.01680878321571812,0.7093637363182295,0.7044406743451542
1.75,0.0003348769023010378,-0.013751113834908126,0.9167151013630792,0.014920229960883923,-0.014869351490408361,0.7098603652543002,0.7040273794144661
1.8010000000000002,0.00033394640643928566,-0.016546391392990058,0.9166447097681815,0.016879918549679906,-0.01683943353246333,0.7093630619710787,0.7044398825585314
1.85,0.0003348792573841171,-0.013751345835108389,0.9167150958259671,0.014846102819713165,-0.014795833715779987,0.7098619226921971,0.7040289250076729
1.9,0.00033394878802424865,-0.016546629759477117,0.9166447024809248,0.016815161013276694,-0.016775125811011805,0.70936461767852,0.7044413990531287
1.951,0.0003348783683904101,-0.013751200628179484,0.9167150999512448,0.014847670201314767,-0.014797385380031641,0.7098618366931861,0.7040289460541266
2.0,0.0003339485377519887,-0.01654654498148399,0.916644705922952,0.01680097939134448,-0.01676104010699802,0.7093649061172074,0.7044417822612092
2.05,0.00033487671615067637,-0.013751047430679172,0.9167151035160257,0.01490363416803382,-0.014852889714379654,0.709860668943489,0.7040277722098893
2.1,0.00033480851083736234,-0.01633175551369971,0.9166510086940022,0.015891618345989622,-0.01586077919032696,0.7098995083755479,0.7039450121692585
2.15,0.0003328185796398415,-0.00988337930097017,0.9167903324060487,0.008889480713298585,-0.008864187159149528,0.7125884684274669,0.7014699408975783
2.201,0.00032318108907229774,-0.006850342516847757,0.9168297038596128,0.0029611856966523225,-0.002997826791294215,0.7152359011754363,0.6988704100786935
2.25,0.00029103419052511437,-0.0013910478438316917,0.9168598190180137,-0.003671152389306574,0.0035997749824011925,0.7175902977264168,0.6964465010818297
2.3,0.0002687768095288749,0.0012533903068393294,0.9168528523601005,-0.00934346874526341,0.009165857694223048,0.7201471292338029,0.6936979161716204
2.35,0.00020522097683757732,0.007109415417638504,0.9167982104519614,-0.01603358070129531,0.01581544200047403,0.7223446919862783,0.6911663635069885
