time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.401,0.00027997721241324616,-0.00011992207812504835,0.9168696851542836,0.001410829093927681,-0.0014105373300468667,0.7073416168219601,0.7068690522702235
0.45,0.000279960791187648,-0.0001482742941573769,0.916869662584496,0.002178727466974071,-0.002177678652093511,0.7074289910742593,0.7067777114835813
0.501,0.0002799374320077244,-0.00017128222383163634,0.9168696343698713,0.0028058290961572255,-0.0028036623934869507,0.70755086106614,0.7066512901034215
0.55,0.0002799155676961401,-0.00019813759095315146,0.9168696084548194,0.00328923454895309,-0.0032860920087695714,0.7076221181916854,0.7065757711535996
0.6,0.0002798881654399234,-0.0002221805453728328,0.9168695814876611,0.0038139846039842184,-0.0038094637152945275,0.7077135081260305,0.7064789677857286
0.65,0.0002798707764776927,-0.00023722823601421197,0.9168695641501607,0.0038764766893049822,-0.0038715347332220033,0.707763841634188,0.7064278651231872
0.7,0.0002798499623878033,-0.0002538122116627134,0.9168695452315165,0.004220890504327203,-0.00421490764073783,0.707818092709482,0.7063695677689136
0.751,0.00027984145546916474,-0.00025965420021758844,0.91686953939429,0.004325001162924776,-0.004318630839201913,0.7078409783461018,0.7063453781024189
0.8,0.0002798358213600468,-0.00026392291924200525,0.9168695341925875,0.004391051609226347,-0.004384442229424225,0.7078545255589813,0.706330988968891
0.851,0.0002798364428486137,-0.0002627985027644621,0.9168695353161787,0.004558714328447178,-0.004551740374190332,0.70785335099337,0.7063300455670095
0.9,0.00027983648291360954,-0.00026275406312025677,0.9168695353977002,0.004534764684759184,-0.004527841947083426,0.7078535028432066,0.7063302011588907
0.951,0.00027983617328965877,-0.0002632675021394395,0.9168695338045003,0.004530539873799574,-0.004523630072047903,0.7078536420574061,0.7063301157429782
1.0,0.0002798363270520485,-0.00026301585271870594,0.9168695341576546,0.004542209618855632,-0.004535273399725428,0.7078535581128008,0.7063300502555562
1.05,0.0002798361189560486,-0.00026342207114466186,0.9168695337752361,0.004415461310071185,-0.004408799637993125,0.707854348022551,0.7063308631036457
1.1,0.0002798361308172309,-0.00026339481971126113,0.9168695337243103,0.004431894400346793,-0.004425197355030299,0.7078542547342959,0.706330751132179
1.15,0.00027983630958964515,-0.00026308144292751327,0.9168695349026309,0.00445319699113736,-0.004446451470954056,0.7078540321324135,0.7063307067512775
1.2,0.0002798362667170166,-0.0002631583274835694,0.9168695347164634,0.004441936932365873,-0.004435216142692959,0.7078541134485516,0.7063307667998202
1.25,0.00027983637455406994,-0.00026293325875502405,0.9168695348146432,0.004535015961498205,-0.004528094061996571,0.7078535434030457,0.7063301572820936
1.3,0.00027983637148986594,-0.00026294323892627175,0.9168695348795071,0.004524159141549001,-0.004517260543428607,0.70785360423465,0.7063302353101278
1.35,0.0002798362259999871,-0.00026320436685755015,0.9168695339777381,0.0044947786800408895,-0.004487945372026876,0.707853856288102,0.7063303571622978
1.4,0.0002798362527750393,-0.00026315429334745725,0.9168695341036851,0.004504863464928127,-0.00449800812439566,0.7078537849911758,0.7063303003565274
1.45,0.0002798361940763048,-0.00026328412273481306,0.916869534159709,0.004438478248109154,-0.004431766076748301,0.7078541800104414,0.7063307434920463
1.5,0.00027983619220306243,-0.0002632842786719053,0.91686953409223,0.004445275522447525,-0.004438548821104828,0.7078541449030921,0.7063306933394617
1.5510000000000002,0.00027983631052864213,-0.0002630683308958765,0.91686953476757,0.00447698086151014,-0.004470184319332708,0.7078538993442758,0.7063305396750308
1.601,0.00027983629097507644,-0.000263105520148195,0.9168695346822175,0.004468369777547225,-0.004461591998624373,0.7078539581625177,0.7063305895839607
1.65,0.000279836318457354,-0.0002630381196410388,0.9168695345436136,0.004514187350259014,-0.004507310971636677,0.707853692398533,0.7063302743179956
1.702,0.0002798363227178314,-0.00026303261869107587,0.9168695346069369,0.004510258318699318,-0.004503390288751055,0.7078537111014755,0.7063303056826
1.75,0.00027983622911751223,-0.00026320587853766723,0.916869534114677,0.004479713623043341,-0.004472912544654946,0.7078539361949896,0.7063304681468034
1.8,0.0002798362432984013,-0.00026317852371585484,0.9168695341703805,0.004486799536842032,-0.004479983048110645,0.707853888873368,0.706330425784317
1.85,0.0002798362357897387,-0.00026320496778366095,0.9168695343454611,0.004456408344790646,-0.004449657085597681,0.7078540575266435,0.7063306408613124
1.9,0.0002798362305376732,-0.0002632130363833523,0.9168695342895271,0.004458379803454472,-0.00445162440615239,0.707854050266884,0.7063306232993455
1.95,0.0002798363025536667,-0.00026307793989756523,0.9168695346377683,0.00448585257700589,-0.004479037158139132,0.707853856415841,0.7063304703253394
2.001,0.000279836292551554,-0.00026309752568527423,0.9168695346035124,0.00448020101289783,-0.004473397863170937,0.7078538933277762,0.7063305049416677
2.05,0.00027983628801073494,-0.00026309667961718137,0.9168695344213436,0.004499334870279635,-0.004492490802970281,0.707853792534212,0.7063303631495985
2.1,0.00027983629341440464,-0.0002630877789086891,0.9168695344686087,0.0044986435176135615,-0.004491800844127386,0.7078537928619367,0.7063303716127809
2.151,0.0002795127207145294,0.0012146962216042507,0.9168687898592985,0.0011328646690226835,-0.0011144300867370518,0.7096590951720183,0.7045434289686169
2.202,0.0002645007713394566,0.006689380959232809,0.9168302476089781,-0.006417449032355253,0.006448865562792738,0.7128014678884086,0.701306848574146
2.25,0.0002486195257757403,0.008946022508024842,0.916797252161178,-0.010353489274593,0.010373708069495733,0.7148045519013708,0.6991706830394211
2.3,0.00020980032110611962,0.013123115716323457,0.9167114817806558,-0.017081550406663246,0.017063443781596577,0.71777158440657,0.695859908415839
